date,league,season,index,round,home_team,away_team,home_goals,away_goals,home_goals_first_half,away_goals_first_half,link,spectators
2001-07-07,NLA-Qualifikation,2001-02,1,1.Runde,YB,Lugano ,1,1,,,,
2001-07-11,NLA-Qualifikation,2001-02,2,2.Runde,Lausanne,YB ,2,3,,,,
2001-07-18,NLA-Qualifikation,2001-02,3,3.Runde,GC,YB ,1,1,,,,
2001-07-22,NLA-Qualifikation,2001-02,4,4.Runde,YB,Zürich ,1,1,,,,
2001-07-27,NLA-Qualifikation,2001-02,5,5.Runde,Luzern,YB ,0,4,,,,
2001-08-04,NLA-Qualifikation,2001-02,6,6.Runde,YB,Sion ,3,2,,,,
2001-08-11,NLA-Qualifikation,2001-02,7,7.Runde,Basel,YB ,3,1,,,,
2001-08-17,NLA-Qualifikation,2001-02,8,8.Runde,YB,Xamax ,2,0,,,,
2001-08-25,NLA-Qualifikation,2001-02,9,9.Runde,Servette,YB ,3,0,,,,
2001-09-08,NLA-Qualifikation,2001-02,10,10.Runde,YB,Aarau ,2,1,,,,
2001-09-15,NLA-Qualifikation,2001-02,11,11.Runde,St.Gallen,YB ,4,1,,,,
2001-09-22,NLA-Qualifikation,2001-02,12,12.Runde,Lugano,YB ,0,0,,,,
2001-09-29,NLA-Qualifikation,2001-02,13,13.Runde,YB,Lausanne ,7,0,,,,
2001-10-10,NLA-Qualifikation,2001-02,14,14.Runde,YB,GC ,1,3,,,,
2001-10-14,NLA-Qualifikation,2001-02,15,15.Runde,Zürich,YB ,0,0,,,,
2001-10-20,NLA-Qualifikation,2001-02,16,16.Runde,YB,Luzern ,5,1,,,,
2001-10-28,NLA-Qualifikation,2001-02,17,17.Runde,Sion,YB ,1,0,,,,
2001-11-03,NLA-Qualifikation,2001-02,18,18.Runde,YB,Basel ,2,2,,,,
2001-11-11,Schweizer Cup,2001-02,19,1/16-Final,Vevey,YB ,0,1,,,,
2001-11-18,NLA-Qualifikation,2001-02,20,19.Runde,Xamax,YB ,0,0,,,,
2001-11-25,NLA-Qualifikation,2001-02,21,20.Runde,YB,Servette ,0,1,,,,
2001-12-01,NLA-Qualifikation,2001-02,22,21.Runde,Aarau,YB ,2,0,,,,
2001-12-09,NLA-Qualifikation,2001-02,23,22.Runde,YB,StGallen ,1,0,,,,
2002-02-17,Schweizer Cup,2001-02,25,1/8-Final,Bellinzona,YB ,1,2,,,,
2002-02-24,NLA-Finalrunde,2001-02,26,1.Runde,YB,Sion ,4,0,,,,
2002-03-02,NLA-Finalrunde,2001-02,27,2.Runde,GC,YB ,1,1,,,,
2002-03-06,NLA-Finalrunde,2001-02,28,3.Runde,YB,Servette ,3,1,,,,
2002-03-10,NLA-Finalrunde,2001-02,29,4.Runde,Basel,YB ,2,0,,,,
2002-03-17,NLA-Finalrunde,2001-02,30,5.Runde,Lugano,YB ,2,1,,,,
2002-03-21,Schweizer Cup,2001-02,31,1/4-Final,Wangen,YB  nV,2,6,,,,
2002-03-24,NLA-Finalrunde,2001-02,32,6.Runde,YB,Zürich ,3,2,,,,
2002-03-30,NLA-Finalrunde,2001-02,33,7.Runde,YB,StGallen ,1,0,,,,
2002-04-06,NLA-Finalrunde,2001-02,34,8.Runde,St.Gallen,YB ,3,1,,,,
2002-04-11,Schweizer Cup,2001-02,35,1/2-Final,Basel,YB  nP,5,4,,,,
2002-04-14,NLA-Finalrunde,2001-02,36,9.Runde,Zürich,YB ,2,0,,,,
2002-04-20,NLA-Finalrunde,2001-02,37,10.Runde,YB,Lugano ,2,2,,,,
2002-04-25,NLA-Finalrunde,2001-02,38,11.Runde,YB,Basel ,0,3,,,,
2002-04-28,NLA-Finalrunde,2001-02,39,12.Runde,Servette,YB ,0,0,,,,
2002-05-04,NLA-Finalrunde,2001-02,40,13.Runde,YB,GC ,1,4,,,,
2002-05-08,NLA-Finalrunde,2001-02,41,14.Runde,Sion,YB ,3,1,,,,
2002-07-06,NLA-Qualifikation,2002-03,42,1.Runde,YB,Luzern ,2,2,,,,
2002-07-13,NLA-Qualifikation,2002-03,43,2.Runde,Thun,YB ,3,4,,,,
2002-07-17,NLA-Qualifikation,2002-03,44,3.Runde,YB,Basel ,1,1,,,,
2002-07-21,NLA-Qualifikation,2002-03,45,4.Runde,Wil,YB ,3,2,,,,
2002-07-27,NLA-Qualifikation,2002-03,46,5.Runde,YB,Aarau ,1,0,,,,
2002-08-03,NLA-Qualifikation,2002-03,47,6.Runde,GC,YB ,4,0,,,,
2002-08-10,NLA-Qualifikation,2002-03,48,7.Runde,YB,Xamax ,1,1,,,,
2002-08-17,NLA-Qualifikation,2002-03,49,8.Runde,YB,Delémont ,2,0,,,,
2002-08-25,NLA-Qualifikation,2002-03,50,9.Runde,St.Gallen,YB ,2,1,,,,
2002-08-31,NLA-Qualifikation,2002-03,51,10.Runde,YB,Zürich ,2,1,,,,
2002-09-11,NLA-Qualifikation,2002-03,52,11.Runde,YB,Servette ,4,2,,,,
2002-09-14,NLA-Qualifikation,2002-03,53,12.Runde,Luzern,YB ,0,0,,,,
2002-09-22,NLA-Qualifikation,2002-03,54,13.Runde,YB,Thun ,3,0,,,,
2002-09-28,NLA-Qualifikation,2002-03,55,14.Runde,Basel,YB ,2,1,,,,
2002-10-04,NLA-Qualifikation,2002-03,56,15.Runde,YB,Wil ,4,2,,,,
2002-10-19,NLA-Qualifikation,2002-03,57,16.Runde,Aarau,YB ,1,1,,,,
2002-10-27,NLA-Qualifikation,2002-03,58,17.Runde,YB,GC ,0,2,,,,
2002-11-02,NLA-Qualifikation,2002-03,59,18.Runde,Xamax,YB ,3,1,,,,
2002-11-10,Schweizer Cup,2002-03,60,1/16-Final,Solothurn,YB ,1,2,,,,
2002-11-17,NLA-Qualifikation,2002-03,61,19.Runde,Delémont,YB ,2,4,,,,
2002-11-24,NLA-Qualifikation,2002-03,62,20.Runde,YB,StGallen ,1,2,,,,
2002-12-01,NLA-Qualifikation,2002-03,63,21.Runde,Zürich,YB ,4,2,,,,
2002-12-08,NLA-Qualifikation,2002-03,64,22.Runde,Servette,YB ,4,4,,,,
2003-02-23,Schweizer Cup,2002-03,66,1/8-Final,YB,Delémont ,1,0,,,,
2003-03-02,NLA-Finalrunde,2002-03,67,1.Runde,GC,YB ,4,0,,,,
2003-03-09,NLA-Finalrunde,2002-03,68,2.Runde,YB,Thun ,1,0,,,,
2003-03-16,NLA-Finalrunde,2002-03,69,3.Runde,Servette,YB ,1,1,,,,
2003-03-22,NLA-Finalrunde,2002-03,70,4.Runde,YB,Xamax ,3,1,,,,
2003-03-26,Schweizer Cup,2002-03,71,1/4-Final,YB,Basel  nV,3,4,,,,
2003-04-05,NLA-Finalrunde,2002-03,72,5.Runde,Wil,YB ,0,1,,,,
2003-04-13,NLA-Finalrunde,2002-03,73,6.Runde,YB,Zürich ,2,1,,,,
2003-04-19,NLA-Finalrunde,2002-03,74,7.Runde,Basel,YB ,3,0,,,,
2003-04-27,NLA-Finalrunde,2002-03,75,8.Runde,YB,Basel ,2,0,,,,
2003-05-03,NLA-Finalrunde,2002-03,76,9.Runde,Zürich,YB ,4,2,,,,
2003-05-08,NLA-Finalrunde,2002-03,77,10.Runde,YB,Wil ,3,4,,,,
2003-05-18,NLA-Finalrunde,2002-03,78,11.Runde,Xamax,YB ,2,0,,,,
2003-05-21,NLA-Finalrunde,2002-03,79,12.Runde,YB,Servette ,2,1,,,,
2003-05-25,NLA-Finalrunde,2002-03,80,13.Runde,Thun,YB ,4,2,,,,
2003-05-31,NLA-Finalrunde,2002-03,81,14.Runde,YB,GC ,2,4,,,,
2003-07-16,Meisterschaft,2003-04,82,1.Runde,St.Gallen,YB ,1,4,,,,
2003-07-22,Meisterschaft,2003-04,83,2.Runde,YB,Basel ,2,3,,,,
2003-07-26,Meisterschaft,2003-04,84,3.Runde,YB,Zürich ,2,1,,,,
2003-08-02,Meisterschaft,2003-04,85,4.Runde,Xamax,YB ,1,2,,,,
2003-08-09,Meisterschaft,2003-04,86,5.Runde,YB,Wil ,2,1,,,,
2003-08-14,UEFA-Cup,2003-04,87,Qualifikation,MyPa,YB ,3,2,,,,
2003-08-17,Meisterschaft,2003-04,88,6.Runde,Aarau,YB ,3,1,,,,
2003-08-22,Meisterschaft,2003-04,89,7.Runde,YB,Thun ,2,1,,,,
2003-08-28,UEFA-Cup,2003-04,90,Qualifikation,YB,MyPa ,2,2,,,,
2003-08-31,Meisterschaft,2003-04,91,8.Runde,Servette,YB ,4,1,,,,
2003-09-03,Meisterschaft,2003-04,92,9.Runde,YB,GC ,4,0,,,,
2003-09-14,Meisterschaft,2003-04,93,10.Runde,YB,StGallen ,0,0,,,,
2003-09-20,Schweizer Cup,2003-04,94,1. Runde,Collombey,YB ,0,3,,,,
2003-09-28,Meisterschaft,2003-04,95,11.Runde,Basel,YB ,2,0,,,,
2003-10-05,Meisterschaft,2003-04,96,13.Runde,YB,Xamax ,2,1,,,,
2003-10-15,Meisterschaft,2003-04,97,12.Runde,Zürich,YB ,0,2,,,,
2003-10-19,Schweizer Cup,2003-04,98,2. Runde,Chaux-de-Fonds,YB ,0,4,,,,
2003-10-26,Meisterschaft,2003-04,99,14.Runde,Wil,YB ,0,1,,,,
2003-10-29,Meisterschaft,2003-04,100,15.Runde,YB,Aarau ,5,3,,,,
2003-11-02,Meisterschaft,2003-04,101,16.Runde,Thun,YB ,1,3,,,,
2003-11-09,Schweizer Cup,2003-04,102,1/8-Final,Malcantone Agno,YB ,2,1,,,,
2003-11-23,Meisterschaft,2003-04,103,17.Runde,YB,Servette ,3,0,,,,
2004-02-15,Meisterschaft,2003-04,106,19.Runde,YB,Basel ,0,1,,,,
2004-02-22,Meisterschaft,2003-04,107,20.Runde,St.Gallen,YB ,1,3,,,,
2004-02-29,Meisterschaft,2003-04,108,21.Runde,YB,Zürich ,2,2,,,,
2004-03-07,Meisterschaft,2003-04,109,22.Runde,Xamax,YB ,0,3,,,,
2004-03-14,Meisterschaft,2003-04,110,23.Runde,YB,Aarau ,2,2,,,,
2004-03-17,Meisterschaft,2003-04,111,24.Runde,Wil,YB ,1,3,,,,
2004-03-21,Meisterschaft,2003-04,112,25.Runde,YB,Servette ,4,2,,,,
2004-03-28,Meisterschaft,2003-04,113,26.Runde,YB,Thun ,0,0,,,,
2004-04-04,Meisterschaft,2003-04,114,27.Runde,GC,YB ,4,2,,,,
2004-04-07,Meisterschaft,2003-04,115,28.Runde,YB,GC ,1,0,,,,
2004-04-15,Meisterschaft,2003-04,116,29.Runde,Thun,YB ,3,0,,,,
2004-04-18,Meisterschaft,2003-04,117,30.Runde,Servette,YB ,0,2,,,,
2004-04-24,Meisterschaft,2003-04,118,31.Runde,YB,Wil ,5,1,,,,
2004-05-01,Meisterschaft,2003-04,119,32.Runde,Aarau,YB ,0,1,,,,
2004-05-09,Meisterschaft,2003-04,120,33.Runde,YB,Xamax ,3,1,,,,
2004-05-12,Meisterschaft,2003-04,121,34.Runde,Zürich,YB ,2,2,,,,
2004-05-15,Meisterschaft,2003-04,122,35.Runde,YB,St Gallen ,2,1,,,,
2004-05-22,Meisterschaft,2003-04,123,36.Runde,Basel,YB ,2,1,,,,
2004-07-17,Meisterschaft,2004-05,124,1.Runde,St. Gallen,YB ,3,3,,,,
2004-07-23,Meisterschaft,2004-05,125,2.Runde,YB,Schaffhausen ,6,1,,,,
2004-07-28,Champions League,2004-05,126,Qualifikation,YB,Roter Stern ,2,2,,,,
2004-08-04,Champions League,2004-05,127,Qualifikation,Roter Stern,YB ,3,0,,,,
2004-08-07,Meisterschaft,2004-05,128,4.Runde,Thun,YB ,3,1,,,,
2004-08-15,Meisterschaft,2004-05,129,5.Runde,YB,Basel ,1,1,,,,
2004-08-21,Meisterschaft,2004-05,130,6.Runde,Aarau,YB ,1,3,,,,
2004-08-25,Meisterschaft,2004-05,131,3.Runde,YB,GC ,1,1,,,,
2004-08-29,Meisterschaft,2004-05,132,7.Runde,YB,Servette ,1,1,,,,
2004-09-11,Meisterschaft,2004-05,133,8.Runde,Zürich,YB ,2,3,,,,
2004-09-17,Schweizer Cup,2004-05,134,1/32-Final,Martigny,YB ,0,6,,,,
2004-09-22,Meisterschaft,2004-05,135,9.Runde,Xamax,YB ,3,1,,,,
2004-09-25,Meisterschaft,2004-05,136,10.Runde,YB,St Gallen ,0,1,,,,
2004-10-03,Meisterschaft,2004-05,137,11.Runde,Schaffhausen,YB ,1,1,,,,
2004-10-17,Meisterschaft,2004-05,138,12.Runde,GC,YB ,0,1,,,,
2004-10-23,Schweizer Cup,2004-05,139,1/16-Final,Wohlen,YB ,0,1,,,,
2004-10-31,Meisterschaft,2004-05,140,13.Runde,YB,Thun ,2,1,,,,
2004-11-07,Meisterschaft,2004-05,141,14.Runde,Basel,YB ,2,1,,,,
2004-11-14,Meisterschaft,2004-05,142,15.Runde,YB,Aarau ,1,1,,,,
2004-11-20,Schweizer Cup,2004-05,143,1/8-Final,Sion,YB ,1,2,,,,
2004-11-28,Meisterschaft,2004-05,144,16.Runde,Servette,YB ,2,1,,,,
2004-12-05,Meisterschaft,2004-05,145,17.Runde,YB,Zürich ,2,4,,,,
2004-12-12,Meisterschaft,2004-05,146,18.Runde,YB,Xamax ,2,1,,,,
2005-02-13,Schweizer Cup,2004-05,148,1/4-Final,YB,Thun ,2,0,,,,
2005-02-27,Meisterschaft,2004-05,149,20. Runde,GC,YB ,1,1,,,,
2005-03-13,Meisterschaft,2004-05,150,23. Runde,Zürich,YB ,0,5,,,,
2005-03-16,Meisterschaft,2004-05,151,24. Runde,YB,Xamax ,1,0,,,,
2005-03-20,Meisterschaft,2004-05,152,25. Runde,YB,St Gallen ,2,3,,,,
2005-04-06,Meisterschaft,2004-05,153,21. Runde,Schaffhausen,YB ,0,1,,,,
2005-04-10,Meisterschaft,2004-05,154,27. Runde,YB,Basel ,2,5,,,,
2005-04-14,Meisterschaft,2004-05,155,19. Runde,YB,Thun ,2,4,,,,
2005-04-17,Meisterschaft,2004-05,156,28. Runde,Basel,YB ,1,1,,,,
2005-04-20,Schweizer Cup,2004-05,157,1/2-Final,Zürich,YB ,3,1,,,,
2005-04-23,Meisterschaft,2004-05,158,30. Runde,St. Gallen,YB ,2,2,,,,
2005-04-27,Meisterschaft,2004-05,159,22. Runde,YB,Aarau ,1,1,,,,
2005-05-01,Meisterschaft,2004-05,160,31. Runde,Xamax,YB ,0,1,,,,
2005-05-08,Meisterschaft,2004-05,161,32. Runde,YB,Zürich ,1,1,,,,
2005-05-11,Meisterschaft,2004-05,162,33. Runde,Thun,YB ,1,1,,,,
2005-05-18,Meisterschaft,2004-05,163,34. Runde,YB,GC ,3,2,,,,
2005-05-22,Meisterschaft,2004-05,164,35. Runde,Aarau,YB ,1,1,,,,
2005-05-29,Meisterschaft,2004-05,165,36. Runde,YB,Schaffhausen ,4,1,,,,
2005-07-02,UI-Cup,2005-06,166,2. Runde,Lokeren,YB ,1,4,,,,
2005-07-10,UI-Cup,2005-06,167,2. Runde,YB,Lokeren ,2,1,,,,
2005-07-13,Meisterschaft,2005-06,168,1. Runde,Xamax,YB ,1,3,,,,
2005-07-16,UI-Cup,2005-06,169,3. Runde,YB,Marseille ,2,3,,,,
2005-07-20,Meisterschaft,2005-06,170,2. Runde,Yverdon,YB ,0,3,,,,
2005-07-23,UI-Cup,2005-06,171,3. Runde,Marseille,YB ,2,1,,,,
2005-08-06,Meisterschaft,2005-06,172,4. Runde,YB,GC ,0,3,,,,
2005-08-10,Meisterschaft,2005-06,173,3. Runde,YB,Aarau ,0,0,,,,
2005-08-13,Meisterschaft,2005-06,174,5. Runde,Schaffh.,YB ,3,2,,,,
2005-08-21,Meisterschaft,2005-06,175,6. Runde,YB,Zürich ,3,1,,,,
2005-08-28,Meisterschaft,2005-06,176,7. Runde,St. Gallen,YB ,0,1,,,,
2005-09-10,Meisterschaft,2005-06,177,8. Runde,YB,Thun ,0,0,,,,
2005-09-17,Schweizer Cup,2005-06,178,1/32 Final,Orpund,YB ,0,8,,,,
2005-09-22,Meisterschaft,2005-06,179,9. Runde,Basel,YB ,1,1,,,,
2005-09-25,Meisterschaft,2005-06,180,10. Runde,YB,Xamax ,3,2,,,,
2005-10-02,Meisterschaft,2005-06,181,11 .Runde,YB,Yverdon ,2,2,,,,
2005-10-16,Meisterschaft,2005-06,182,12 .Runde,Aarau,YB ,1,0,,,,
2005-10-23,Schweizer Cup,2005-06,183,1/16 Final,Chx-d-Fds,YB ,0,4,,,,
2005-10-30,Meisterschaft,2005-06,184,13. Runde,GC,YB ,1,1,,,,
2005-11-06,Meisterschaft,2005-06,185,14. Runde,YB,Schaffhausen ,3,1,,,,
2005-11-20,Meisterschaft,2005-06,186,15. Runde,Zürich,YB ,1,1,,,,
2005-11-26,Meisterschaft,2005-06,187,16. Runde,YB,St Gallen ,1,0,,,,
2005-12-02,Meisterschaft,2005-06,188,17. Runde,Thun,YB ,1,1,,,,
2005-12-11,Meisterschaft,2005-06,189,18. Runde,YB,Basel ,1,6,,,,
2005-12-18,Schweizer Cup,2005-06,190,1/8 Final,Kriens,YB ,1,2,,,,
2006-02-05,Schweizer Cup,2005-06,192,1/4 Final,Lugano,YB ,1,2,,,,
2006-02-12,Meisterschaft,2005-06,193,19. Runde,YB,Yverdon ,2,1,,,,
2006-02-19,Meisterschaft,2005-06,194,20. Runde,Thun,YB ,1,1,,,,
2006-02-26,Meisterschaft,2005-06,195,21. Runde,YB,GC ,1,1,,,,
2006-03-11,Meisterschaft,2005-06,196,23. Runde,YB,Aarau ,2,1,,,,
2006-03-15,Schweizer Cup,2005-06,197,1/2 Final,Zürich,YB ,1,4,,,,
2006-03-19,Meisterschaft,2005-06,198,24. Runde,YB,Xamax ,1,0,,,,
2006-03-22,Meisterschaft,2005-06,199,25. Runde,Schaffhausen,YB ,1,1,,,,
2006-03-26,Meisterschaft,2005-06,200,26. Runde,YB,Zürich ,0,2,,,,
2006-03-29,Meisterschaft,2005-06,201,22. Runde,St. Gallen,YB ,1,3,,,,
2006-04-02,Meisterschaft,2005-06,202,27. Runde,Basel,YB ,2,0,,,,
2006-04-09,Meisterschaft,2005-06,203,29 .Runde,Zürich,YB ,3,3,,,,
2006-04-12,Meisterschaft,2005-06,204,30 .Runde,YB,Schaffhausen ,1,2,,,,
2006-04-17,Schweizer Cup,2005-06,205,Final,YB,Sion  nP,4,6,,,,
2006-04-20,Meisterschaft,2005-06,206,31. Runde,Xamax,YB ,1,3,,,,
2006-04-23,Meisterschaft,2005-06,207,32. Runde,Aarau,YB ,1,5,,,,
2006-04-29,Meisterschaft,2005-06,208,33. Runde,YB,St Gallen ,2,0,,,,
2006-05-03,Meisterschaft,2005-06,209,34. Runde,GC,YB ,1,0,,,,
2006-05-07,Meisterschaft,2005-06,210,35. Runde,YB,Thun ,2,1,,,,
2006-05-10,Meisterschaft,2005-06,211,28. Runde,YB,Basel ,4,2,,,,
2006-05-14,Meisterschaft,2005-06,212,36. Runde,Yverdon,YB ,1,3,,,,
2006-07-13,UEFA-Cup,2006-07,213,1. Qualifikation,Mika Ashtarak,YB ,1,3,,,,
2006-07-19,Super League,2006-07,214,1. Runde,YB,Basel ,1,1,,,,
2006-07-23,Super League,2006-07,215,2. Runde,Thun,YB ,0,0,,,,
2006-07-27,UEFA-Cup,2006-07,216,1. Qualifikation,YB,Mika Ashtarak ,1,0,,,,
2006-07-30,Super League,2006-07,217,3. Runde,YB,Luzern ,3,2,,,,
2006-08-05,Super League,2006-07,218,4. Runde,Zürich,YB ,3,1,,,,
2006-08-10,UEFA-Cup,2006-07,219,2. Qualifikation,YB,Marseille ,3,3,,,,
2006-08-13,Super League,2006-07,220,5. Runde,YB,Sion ,2,1,,,,
2006-08-20,Super League,2006-07,221,6. Runde,Aarau,YB ,0,1,,,,
2006-08-24,UEFA-Cup,2006-07,222,2. Qualifikation,Marseille,YB ,0,0,,,,
2006-08-27,Swisscom Cup,2006-07,223,1/32 Final,Monthey,YB ,0,1,,,,
2006-09-09,Super League,2006-07,224,7. Runde,Schaffhausen,YB ,1,0,,,,
2006-09-18,Super League,2006-07,225,8. Runde,YB,GC ,1,3,,,,
2006-09-24,Super League,2006-07,226,9. Runde,St. Gallen,YB ,2,1,,,,
2006-09-29,Swisscom Cup,2006-07,227,1/16 Final,Xamax,YB ,0,3,,,,
2006-10-15,Super League,2006-07,228,11. Runde,YB,Thun ,5,0,,,,
2006-10-22,Super League,2006-07,229,12. Runde,Luzern,YB ,3,1,,,,
2006-10-28,Super League,2006-07,230,13. Runde,YB,Zürich ,2,0,,,,
2006-11-05,Super League,2006-07,231,14. Runde,Sion,YB ,1,0,,,,
2006-11-09,Super League,2006-07,232,10. Runde,Basel,YB ,2,2,,,,
2006-11-12,Swisscom Cup,2006-07,233,1/8 Final,YB,Sion ,3,0,,,,
2006-11-19,Super League,2006-07,234,15. Runde,YB,Aarau ,2,1,,,,
2006-11-25,Super League,2006-07,235,16. Runde,YB,Schaffhausen ,3,2,,,,
2006-12-03,Super League,2006-07,236,17. Runde,GC,YB ,1,2,,,,
2006-12-09,Super League,2006-07,237,18. Runde,YB,St Gallen ,3,0,,,,
2007-02-11,Super League,2006-07,239,19. Runde,YB,Basel ,0,3,,,,
2007-02-17,Super League,2006-07,240,20. Runde,Zürich,YB ,1,0,,,,
2007-02-25,Super League,2006-07,241,21. Runde,YB,Thun ,3,1,,,,
2007-03-03,Super League,2006-07,242,22. Runde,YB,Sion ,2,0,,,,
2007-03-11,Super League,2006-07,243,23. Runde,Luzern,YB ,1,1,,,,
2007-03-15,Swisscom Cup,2006-07,244,1/4 Final,Wil,YB ,2,1,,,,
2007-03-18,Super League,2006-07,245,24. Runde,St. Gallen,YB ,1,1,,,,
2007-03-31,Super League,2006-07,246,25. Runde,YB,GC ,1,0,,,,
2007-04-07,Super League,2006-07,247,26. Runde,Schaffhausen,YB ,0,1,,,,
2007-04-14,Super League,2006-07,248,27. Runde,YB,Aarau ,1,1,,,,
2007-04-18,Super League,2006-07,249,28. Runde,Aarau,YB ,1,1,,,,
2007-04-21,Super League,2006-07,250,29. Runde,YB,Schaffhausen ,2,0,,,,
2007-04-28,Super League,2006-07,251,30. Runde,GC,YB ,1,2,,,,
2007-05-06,Super League,2006-07,252,31. Runde,YB,St Gallen ,1,1,,,,
2007-05-09,Super League,2006-07,253,32. Runde,YB,Luzern ,3,1,,,,
2007-05-12,Super League,2006-07,254,33. Runde,Sion,YB ,2,0,,,,
2007-05-16,Super League,2006-07,255,34. Runde,Thun,YB ,0,1,,,,
2007-05-19,Super League,2006-07,256,35. Runde,YB,Zürich ,2,3,,,,
2007-05-24,Super League,2006-07,257,36. Runde,Basel,YB ,2,0,,,,
2007-07-19,Uefa-Cup,2007-08,258,Qualifikation,FC Banants,YB,1,1,0,1,,
2007-07-22,Meisterschaft,2007-08,259,1. Runde,Aarau,YB,1,1,1,1,,
2007-07-25,Meisterschaft,2007-08,260,2. Runde,YB,GC,3,2,2,0,,
2007-07-29,Meisterschaft,2007-08,261,3. Runde,Luzern,YB,2,2,2,1,,
2007-08-02,Uefa-Cup,2007-08,262,Qualifikation,YB,FC Banants,4,0,3,0,,
2007-08-05,Meisterschaft,2007-08,263,4. Runde,YB,Basel,5,1,2,0,,
2007-08-11,Meisterschaft,2007-08,264,5. Runde,Xamax,YB,3,1,2,1,,
2007-08-16,Uefa-Cup,2007-08,265,Qualifikation,YB,Lens,1,1,0,0,,
2007-08-19,Meisterschaft,2007-08,266,6. Runde,YB,Thun,0,0,,,,
2007-08-25,Meisterschaft,2007-08,267,7. Runde,Zürich,YB,5,1,3,0,,
2007-08-30,Uefa-Cup,2007-08,268,Qualifikation,Lens,YB,5,1,2,1,,
2007-09-02,Meisterschaft,2007-08,269,8. Runde,YB,St Gallen,3,1,3,0,,
2007-09-16,Swisscom-Cup,2007-08,270,1/32-Final,Bavois,YB,1,3,0,2,,
2007-09-23,Meisterschaft,2007-08,271,9. Runde,Sion,YB,1,2,0,0,,
2007-09-26,Meisterschaft,2007-08,272,10. Runde,YB,Aarau,4,1,3,0,,
2007-09-29,Meisterschaft,2007-08,273,11. Runde,GC,YB,3,3,1,1,,
2007-10-06,Meisterschaft,2007-08,274,12. Runde,YB,Luzern,6,1,0,1,,
2007-10-21,Swisscom-Cup,2007-08,275,1/16-Final,Locarno,YB,0,2,0,0,,
2007-10-28,Meisterschaft,2007-08,276,13. Runde,Basel,YB,4,0,2,0,,
2007-11-01,Meisterschaft,2007-08,277,14. Runde,YB,Xamax,3,2,2,0,,
2007-11-04,Meisterschaft,2007-08,278,15. Runde,Thun,YB,0,0,,,,
2007-11-11,Meisterschaft,2007-08,279,16. Runde,YB,Zürich,1,1,0,0,,
2007-11-25,Swisscom-Cup,2007-08,280,1/8-Final,Chiasso,YB,0,1,0,1,,
2007-12-01,Meisterschaft,2007-08,281,17. Runde,St. Gallen,YB,2,7,1,3,,
2007-12-09,Meisterschaft,2007-08,282,18. Runde,YB,Sion,1,0,1,0,,
2007-12-16,Swisscom-Cup,2007-08,283,1/4-Final,Xamax,YB,3,2,,,,
2008-02-03,Meisterschaft,2007-08,285,19. Runde,YB,Basel,2,0,0,0,,
2008-02-10,Meisterschaft,2007-08,286,20. Runde,GC,YB,3,3,3,0,,
2008-02-17,Meisterschaft,2007-08,287,21. Runde,Xamax,YB,3,1,2,1,,
2008-02-24,Meisterschaft,2007-08,288,22. Runde,YB,Sion,3,1,1,1,,
2008-03-01,Meisterschaft,2007-08,289,23. Runde,Aarau,YB,0,2,0,1,,
2008-03-09,Meisterschaft,2007-08,290,24. Runde,YB,Zürich,3,0,2,0,,
2008-03-14,Meisterschaft,2007-08,291,25. Runde,YB,St Gallen,3,0,1,0,,
2008-03-18,Meisterschaft,2007-08,292,26. Runde,Luzern,YB,0,3,0,1,,
2008-03-22,Meisterschaft,2007-08,293,27. Runde,YB,Thun,4,2,1,1,,
2008-03-30,Meisterschaft,2007-08,294,28. Runde,Thun,YB,0,4,0,0,,
2008-04-12,Meisterschaft,2007-08,295,30. Runde,St. Gallen,YB,2,0,2,0,,
2008-04-17,Meisterschaft,2007-08,296,31. Runde,Zürich,YB,1,2,0,2,,
