stadium,capacity
ST. JAKOB-PARK,"38,512"
LETZIGRUND,"26,104"
SWISSPORARENA,"16,800"
MALADIÈRE,"11,998"
STADE DE SUISSE,"31,783"
BRÜGGLIFELD,"9,249"
STADE DE GENÈVE,"30,084"
AFG ARENA,KYBUNPARK
PONTAISE,"15,786"
STADIO CORNAREDO,"15,000"
TOURBILLON,"16,263"
STADE MUNICIPAL (YVERDON),"6,750"
BLANCHERIE,"5,263"
SCHÜTZENMATTE,"9,000"
STADE DE CHARMILLES,"9,250"
ALLMEND,ALLMEND-STADION
HARDTURM,"17,666"
ESPENMOOS,"5,700"
CHARMILLES,STADE DE CHARMILLES
NEUFELD,"11,500"
LACHEN,"9,000"
BERGHOLZ,"6,048"
LA PRAILLE,"30,084"
Z'HOF,"1,500"
LOKOMOTIVE STADION MOSKAU,"27,320"
NIEDERMATTEN,"4,450"
STADE DU BOIS-CARRÉ,
ARENA AUF SCHALKE,"62,271"
RANKHOF,"7,200"
DE KUIP,"51,117"
TYNECASTLE STADIUM,"20,099"
ARENA,ARENA AUF SCHALKE
SPANIEN,
ST. JAKOB AREAL,"6,700"
"FELD 9, ST. JAKOB",
MUNICIPAL,STADE MUNICIPAL (YVERDON)
LILLE METROPOLE,"18,154"
STADION BREITE,"7,820"
ANTALYA,"32,537"
LEICHTATHLETIK-STADION ST. JAKOB,
SPORTANLAGE ST. JAKOB,
NIEDERMATTEN / WOHLEN,NIEDERMATTEN
STADION FC SOLOTHURN,"6,750"
CELERINA,
SCHAAN,"1,500"
GRENCHEN,"BRÜHL, GRENCHEN"
BONCOURT,
"GITTERLI, LIESTAL",250
BREITE,STADION BREITE
WESERSTADION,"42,358"
SPORTPLATZ MARGELACKER,
PECARA,"7,000"
"BURGERFELD, KREUZLINGEN",
LÖHRENACKER,
BEOGRAD STADION,"53,000"
OLIMPICO,"70,634"
ALFHEIM STADION,"6,687"
STADE DE LA MEINAU,"26,109"
STADE LOUIS II,"18,523"
LA CHARRIÈRE LA CHAUX-DE-FONDS,"12,700"
LA MANGA,800
STADE MUNICIPAL (PAYERNE),
SCHÜTZENMATTE (KUNSTRASEN),
RIVERSIDE STADIUM,"34,742"
PORTALBAN,
KETT,500
ALLMEND-STADION,"15,000"
TCENTRALNY,"16,700"
STADION RHEINPARK,"7,584"
KLEINE ALLMEND,7000
GRADSKI,"13,000"
SPORTPLATZ NAU,5000
EWOOD PARK,"31,367"
STADION WISLY,"33,326"
LAUSANNE,PONTAISE
STADE MARCEL PICOT,"20,087"
"SAN GIAN, CELERINA",
"BRÜHL, GRENCHEN","15,100"
"SEEFELD, HORW",
ESCHEN-MAUREN/LIECHTENSTEIN,"6,000"
PAPPELSTADION,"15,700"
FRIBOURG,"9,000"
OLYMPIC STADIUM,
GIGERSLOCH,
SPIEGELFELD,
"STAMPFI, ROTHRIST",
MAKSIMIR-STADION,"35,123"
HSH NORDBANK ARENA,"57,000"
STADE DE LA ROUTE DE LORIENT,"29,778"
AOL ARENA,HSH NORDBANK ARENA
ESTÁDIO ALVALADE XXI,"50,095"
CAMPOAMOR,
VELTINS ARENA,
STADIO COMUNALE MENDRISIO,"5,000"
BARTENHEIM,
ULLEVI,"43,000"
SPORTPLATZ WISSENHUSEN,1800
CAMP NOU,"99,354"
ESTÁDIO JOSÉ ALVALADE XXI,ESTÁDIO ALVALADE XXI
RSK OLIMPIJSKYJ,"25,678"
SPORTANLAGE GERSAG,
ESTADI AIXOVALL,"1,000"
KR-VÖLLUR,"2,700"
TOFIG BAKHRAMOV STADIUM,"31,200"
STADION EIZMOOS,
CRAVEN COTTAGE,"25,700"
EUROPASTADION,
ALLIANZ ARENA,"75,024"
BADENOVA-STADION,"24,000"
ESTADIO SAN PEDRO,
STADION KLEINFELD,"5,360"
"CHRÜZMATT, WANGEN BEI OLTEN",
NONNENHOLZ,
SHERIFF STADIUM,"12,746"
STADIONUL DR. CONSTANTIN RADULESCU,"23,500"
BACHGRABEN,
STADIO COMUNALE,"11,168"
OLYMPIASTADION LUSCHNIKI,"81,000"
GLOVELIER/JU,
UTZWIL SG,
SPORTPLATZ WARNGAU,
HÉGENHEIM,1000
STOCKHORN ARENA,"10,398"
KUFSTEIN (TIROL),
SCHWAZ (TIROL),
LUSTENAU,
OLD TRAFFORD,"74,879"
ESTÁDIO DA LUZ,"65,647"
OLYMPIASTADION BUKAREST,ARENA NATIONALA
STADIONUL OTELUL,"13,500"
MARBELLA FOOTBALL CENTER,
SCHÜTZENWIESE,"9,400"
ROTTACH-EGERN,
A. LE COQ ARENA,"15,000"
AKER STADION,"11,249"
SPORTANLAGE TELLENFELD,
SÓSTÓI,"14,200"
CHRISTAL ARENA,"24,956"
COMUNALE LIDO,"11,000"
DNIPROSTADION,"31,003"
PETROWSKI,"21,405"
WHITE HART LANE,"62,303"
STAMFORD BRIDGE,"41,837"
BLOOMFIELD STADIUM,"29,150"
VASIL LEVSKI NATIONAL STADIUM,"46,340"
SPORTANLAGE SANDREUTENEN,1400
ARENA NATIONALA,"55,634"
STADION GELSENKIRCHEN,ARENA AUF SCHALKE
LINTHSTRASSE,
IMTECH ARENA,HSH NORDBANK ARENA
ALGECIRAS,"7,200"
STADION SALZBURG,"30,188"
MESTALLA,"55,000"
SPORTPLATZ BIRKENMOOS,
SPORTPLATZ NEURIED BEI MÜNCHEN,
SPORTPLATZ LIEBEFELD,
TIVOLI STADION TIROL,"17,400"
STADE DES ARBÈRES,
ESTADIO SANTIAGO BERNABÉU,"81,044"
ANFIELD,"54,074"
ESTÁDIO DO DRAGÃO,"50,033"
NACHWUCHS-CAMPUS BASEL,
"ARROYO EN MEDIO, ESTEPONA",
EINTRACHT-STADION,FRANKFURT STADION
STADIO DI CORNAREDO,"14,873"
"WALDÄCKER, HERZOGENBUCHSEE",
ISARAU-STADION,
STADE DU CHRIST-ROI,
MUNICIPAL STADIUM POZNAN,"42,837"
STADIO ARTEMIO FRANCHI,"43,147"
ESTÁDIO DO RESTELO,"19,980"
STADE GEOFFROY-GUICHARD,"41,965"
ESTADIO MUNICIPAL DE MARBELLA,"7,300"
GENERALI ARENA,"15,000"
ESTADIO RAMÓN SÁNCHEZ PIZJUÁN,"42,714"
LANGENSTEINSTADION,5000
KYBUNPARK,"19,694"
SPORTANLAGE GRÜNFELD,
"STADE ST-GERMAIN, SAVIÈSE",
"STADE DE CHAILLY, MONTREUX",
HERTI ALLMEND,"4,900"
PARC DES PRINCES,"47,929"
ARSENAL STADIUM,"60,704"
STADE DES GRÈVES,
SPORTANLAGE MOOS,
STADION ZSKA MOSKAU,"12,100"
CITY OF MANCHESTER STADIUM,"55,017"
TISSOT ARENA,"5,200"
SPORTANLAGEN ST. JAKOB – SPIELFELD 20,
STADIO TOUMBA,29000
SPORTANLAGE KOLBENSTEIN,
GELREDOME,"21,248"
"GSP STADIUM, NICOSIA","22,859"
CENTRE SPORTIF DES 3 SAPINS,
STADION AN DER ALTEN FÖRSTEREI,"22,012"
"WALDSTADION, UNTERPFAFFENHOFEN",
PHILIPS STADION,PHILIPS STADION
CENTRE SPORTIF DE ROCHETTAZ,
STADION AM AMPERKNIE,
STADION DER STADT LINZ,"21,005"
SENOL GÜNES STADION,"40,782"
COLISEUM ALFONSO PÉREZ,"17,000"
KRASNODAR-STADION,"35,074"
CENTRE SPORTIF DE COLOVRAY,"7,820"
LA QUINTA FOOTBALL FIELDS,
FRANKFURT STADION,"51,500"